olevel, min, c0, mean, c1, max, n
-O0, 0.706, 0.736409255306, 0.7407499999999996, 0.745090744694, 0.866, 100
-O1, 0.25, 0.255904930923, 0.25652000000000014, 0.257135069077, 0.271, 100
-O2, 0.242, 0.247212633214, 0.2478599999999999, 0.248507366786, 0.263, 100
-O3, 0.242, 0.246413543598, 0.2471999999999999, 0.247986456402, 0.267, 100
-Os, 0.306, 0.31096070687, 0.31154, 0.31211929313, 0.327, 100
